section,folder_version,catalogo,source_xls,xls_hash,descripcion,sheets,numero_columnas,nombres_columnas,file_hash,version,revision,fecha_publicacion,file_type
anexo20/cfdi,3-3,MatrizDeErrores_CFDI_v33,output/files/anexo-20/formato-de-factura/version-3-3/MatrizDeErrores_CFDI_v33.xls,6d10cde320a02df06ec61678afdf08b236ec2e08f76f88f06754955d5c341998,matriz de validaciones para el comprobante fiscal digital por internet version 3.3,Errores_CFDI33,7,num|atributo|reglas_de_validacion_para_cfdi_version_3_3|codigo_error|error|notas|row_hash,df6f94dbe40a9560c7688e380ccfbcbe494038baf3ed65f42c8ffc3c4e2557be,3.3,,2017-04-12,matriz
anexo20/cfdi,4-0,MatrizDeErrores_CFDI_v40,output/files/anexo-20/formato-de-factura/version-4-0/MatrizDeErrores_CFDI_v40.xls,bdc350035c7ed720af5be15509e01d0bda7c12cec4ad9797b0c34f889c1140a7,matriz de codigos de error para el comprobante fiscal digital por internet. version 4.0,Códigos_Error_CFDI40,7,num|elemento|atributo|validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,54d9f22edb3e7842da001c2cc9bf607e09b3b11b221ee08545977abc1a8c92e9,4.0,,2026-03-25,matriz
anexo20/retenciones,2-0,MatrizDeErrores_CFDI_Retenciones_v20,output/files/anexo-20/factura-de-retenciones-e-informacion-de-pagos/version-2-0/MatrizDeErrores_CFDI_Retenciones_v20.xls,c4320cfd1ea5e768cf89bdbcdfe59b61e2e71e47e69ce8a632f3ff35b1a513a9,matriz de codigos de error para el comprobante fiscal digital que ampara retenciones e informacion de pagos version 2.0,Errores_Retenciones20,7,num|elemento|atributo|caso_de_validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,344ad56305a8d5ff060ce205e5ce8df2b31cbe05576569ad5d8ab185edf4361c,2.0,,2025-04-09,matriz
complementos/carta-porte,3-1,Matriz_Errores_CCP_V31,output/files/complementos/carta-porte/version-3-1/Matriz_Errores_CCP_V31.xls,5435ed272510461ff24f22ab675a7dd86013894fdb9cb98e4ae0655b6246c5c3,matriz de errores para complemento carta porte 3.1,Validaciones Carta Porte 3.1,8,num|elemento|atributo|caso_de_validacion|codigo_error|error|aclaraciones|row_hash,e6c30d2f67d14da2bae2c21b6507983a4c68ba677ecf66c8a9cd9337796ed1f4,3.1,,2024-06-17,matriz
complementos/comercio-exterior,2-0,Matriz_de_Errores_CCE_v2,output/files/complementos/comercio-exterior/version-2-0/Matriz_de_Errores_CCE_v2.xls,48d67a485fb4833e01055a17cb6cf16e76b96983bf166c0e9a2b1bd9596a139a,matriz de errores para complemento comercio exterior 2.0,Validaciones Com Ext V2.0,8,num|elemento|atributo|caso_de_validacion|codigo_error|error|aclaraciones|row_hash,20d5b4fc951ef3df32fbabd4e00d45ebab9731f4e842e76630ff51ec1699b914,2.0,,,matriz
complementos/estado-de-cuenta-de-combustibles-para-monederos-electronicos,1-2-revision-b,Matriz_errores_ECC12+%28B%2940,output/files/complementos/estado-de-cuenta-de-combustibles-para-monederos-electronicos/version-1-2-revision-b/Matriz_errores_ECC12+%28B%2940.xls,04746f1419cfa178324ad58a3e21ddcdab5f646eab1003a5e83f14e131e4e571,"matriz de codigos de error para la revision ""b"" para complemento de estado de cuenta de combustibles de monederos electronicos 1.2",_Validaciones complemento ecc11,7,num|elemento|atributo|caso_de_validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,0716a3090fd803bb831c958b2d3ac08e3e763e6013f0f2eca6d4103f6c2a8a17,1.2,B,,matriz
complementos/hidrocarburos,1-0-revision-a-gastos,Matriz_Apoyo_A20_40_GCEH,output/files/complementos/hidrocarburos/version-1-0-revision-a-gastos/Matriz_Apoyo_A20_40_GCEH.XLS,b4f113fef7f94ed3e606ff437c7fb08b929ba8ac2f27739c5f7f13761a6a5737,"matriz de codigos de error para la revision ""a"" del complemento de gastos del consorcio derivados de la ejecucion de un contrato de exploracion o extraccion de hidrocarburos 1.0",Validaciones complemento GCEH,7,num|elemento|atributo|caso_de_validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,7edffcf5ac76f76987120a7e0105656efa363dcf695b222bfa3c073fa670be1b,1.0,A,,matriz
complementos/hidrocarburos,1-0-revision-a-ingresos,Matriz_Apoyo_A20_40_IEEH,output/files/complementos/hidrocarburos/version-1-0-revision-a-ingresos/Matriz_Apoyo_A20_40_IEEH.XLS,894ade131feceb03971c5ae7a328da61becdb196a7ca20d2aad0760e6596bf4f,"matriz de codigos de error para la revision ""a"" del complemento de ingresos atribuibles a los integrantes de un consorcio derivados de la contraprestacion de un contrato de exploracion o extraccion de hidrocarburos 1.0",Validaciones complemento IEEH,7,num|elemento|atributo|caso_de_validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,988b9674bf4f2c4018891a762f000de42b1725d2a506c006843075b4926e76c2,1.0,A,,matriz
complementos/ine,1-1-revision-b,MatrizdeerroresINE11,output/files/complementos/ine/version-1-1-revision-b/MatrizdeerroresINE11.xls,e89e6c7651ce378d70b4030ae961999299c4d851c77125fe85847fbeed451901,matriz de validaciones para el cfdi version 4.0 con complemento ine 1.1,Hoja1,7,num|elemento|atributo|caso_de_validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,bb4ebc4d89fed40f0b68fca8f3dddb8251a0c15631461f83bb1ab007c93521a4,1.1,B,,matriz
complementos/recepcion-de-pagos,files,Matriz_De_Errores_CRP_V20_Rev_B,output/files/complementos/recepcion-de-pagos/files/Matriz_De_Errores_CRP_V20_Rev_B.xls,84fef6323770dadd89f4f6fa74fbafaa06a4692d577604363938b31e0d6e4268,matriz de codigos de error del complemento para recepcion de pagos 2.0 revision b,Códigos_Errores_CPR20_RevB,7,num|elemento|atributo|validacion|codigo_error|descripcion_de_codigo_de_error|row_hash,a1db1597414fcce3467986e019ce2d32d9064fb8636313fd1541b8a3aef4a31e,,,2024-01-16,matriz
