seccion,descripcion_seccion,capitulo,nombre_capitulo
I,Animales vivos y productos del reino animal,1,Animales vivos
I,Animales vivos y productos del reino animal,2,Carne y despojos comestibles
I,Animales vivos y productos del reino animal,3,"Pescados y crustáceos, moluscos y demás invertebrados acuáticos"
I,Animales vivos y productos del reino animal,4,"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal, no expresados ni comprendidos en otra parte"
I,Animales vivos y productos del reino animal,5,Los demás productos de origen animal no expresados ni comprendidos en otra parte
II,Productos del reino vegetal,6,Plantas vivas y productos de la floricultura
II,Productos del reino vegetal,7,"Hortalizas, plantas, raíces y tubérculos alimenticios"
II,Productos del reino vegetal,8,"Frutas y frutos comestibles; cortezas de agrios (cítricos), melones o sandías"
II,Productos del reino vegetal,9,"Café, té, yerba mate y especias"
II,Productos del reino vegetal,10,Cereales
II,Productos del reino vegetal,11,Productos de la molinería; malta; almidón y fécula; inulina; gluten de trigo
II,Productos del reino vegetal,12,Semillas y frutos oleaginosos; semillas y frutos diversos; plantas industriales o medicinales; paja y forraje
II,Productos del reino vegetal,13,"Gomas, resinas y demás jugos y extractos vegetales"
II,Productos del reino vegetal,14,"Materias trenzables y demás productos de origen vegetal, no expresados ni comprendidos en otra parte"
III,"Grasas y aceites, animales, vegetales o de origen microbiano, y productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal",15,Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras de origen animal o vegetal
IV,"Productos de las industrias alimentarias; bebidas, líquidos alcohólicos y vinagre; tabaco y sucedáneos del tabaco elaborados; productos con nicotina",16,"Preparaciones de carne, pescado o de crustáceos, moluscos o demás invertebrados acuáticos"
IV,"Productos de las industrias alimentarias; bebidas, líquidos alcohólicos y vinagre; tabaco y sucedáneos del tabaco elaborados; productos con nicotina",17,Azúcares y artículos de confitería
