tipo,codigo_division,nombre_division,codigo_grupo,nombre_grupo,row_hash
Producto,50,"Alimentos, Bebidas y Tabaco",5015,Aceites y grasas comestibles,33ae2e2648c57083efa47e91765cedc46d50535aee89d24fd31cd715cc77b724
Producto,50,"Alimentos, Bebidas y Tabaco",5019,Alimentos preparados y conservados,05ed565256e74044811060e51df68316299e3561e97368e15d4117feba2230ff
Producto,50,"Alimentos, Bebidas y Tabaco",5020,Bebidas,b7611884f874a9045bf89e4687795244c016ad3a912e75711a3f15ca3cda4b63
Producto,50,"Alimentos, Bebidas y Tabaco",5016,"Chocolates, azúcares, edulcorantes y productos de confitería",3df2f4ab50004157d20f6072676aa96bf07dc5721e5bb4fbe125fe2950728509
Producto,50,"Alimentos, Bebidas y Tabaco",5017,Condimentos y conservantes,332a90d4b52cd2f13920117f5eae70a05fe4cd88ebceab6127767f6a1b5c1033
Producto,50,"Alimentos, Bebidas y Tabaco",5034,Fruta congelada,b2525e3c85a440c40091d1e4ea24b897f7b2a126f7fb672f778f2f7703151701
Producto,50,"Alimentos, Bebidas y Tabaco",5036,Fruta en lata o en frasco,3a8c5a3585f7743bbeceba4bd2e07c71826a69c8bc2cae42102030ab78d9968e
Producto,50,"Alimentos, Bebidas y Tabaco",5030,Fruta fresca,15be58cbeb342224c21e757ab7e07842b35ef6f285d055b43b0b92c34b717062
Producto,50,"Alimentos, Bebidas y Tabaco",5035,Fruta orgánica congelada,afe9b30d1777db90f4698d616420892ccd62e02db345bbff35550c25b0d6822a
Producto,50,"Alimentos, Bebidas y Tabaco",5037,Fruta orgánica en lata o en frasco,1a34e4f3c5f4f378e2f1488617126eda71d9b862142f4b942a53931b91bd2e52
Producto,50,"Alimentos, Bebidas y Tabaco",5031,Fruta orgánica fresca,152cab44753b6d19988a2a866a417c56c0884f57297f1ef330a5175e8d39db83
Producto,50,"Alimentos, Bebidas y Tabaco",5033,Fruta orgánica seca,ffe0b5ea24d6efadaa02b1652ad8c93bfd8914fad58d4ceb0684fe89058f8dc2
Producto,50,"Alimentos, Bebidas y Tabaco",5032,Fruta seca,e259123e91728290f1d8eee157a9d43f373259eced179bb98ccfc0bbc03ae557
Producto,50,"Alimentos, Bebidas y Tabaco",5010,Frutos secos,7a9aee65362e3ac1d5dc2b98c4128ce6fe8d6ce3e194c713da9476aeb1c20580
Producto,50,"Alimentos, Bebidas y Tabaco",5012,Pescados y mariscos,709239168534a5f891a8c893a7f6342b5833f21fd925d15aea828e35a3fbee2d
Producto,50,"Alimentos, Bebidas y Tabaco",5011,Productos de carne y aves de corral,3fea79e9cc40850f53a7409e9c0076391e3112870ba353bdae983a89d94340f0
Producto,50,"Alimentos, Bebidas y Tabaco",5022,Productos de cereales y legumbres,a0420adb1eb38ebb08522fcc725e3b6c91a8400c5fe8973829946f5c214682ab
Producto,50,"Alimentos, Bebidas y Tabaco",5018,Productos de panadería,764bfcc1c23ebb4721b6546342b47da6e8b1c131ef645cbfa4653213e416023c
